hhid,region,urbrur,hhsize,land_ownership,land_area,landcul,landless,TLU_total,thhagasset,hhdurval,wealth,wealth_urb,wealth_rur,femhead,agehead,hhlabor,flabor,flaborshare,educadult,educhead,d_mobile,d_computer,d_internet,electricity,ownhome,distprschool,distsecschool,disthealth,distbus,distroad,distbank,distpost,agrassetNT,agrassetT,pcexpusd,exppcday,hhdurvalimp_tech,MVadoption,mixed_crop,erosion,anti_erosion,shock_1,shock_2,shock_3,shock_4,shock_5,shock_6,shock_7,shock_8,shock_9,shock_10,shock_11,shock_12,shock_13,shock_14,shock_15,shock_16,shock_17,shock_18,shock_19,m_10km,m_15km,m_20km,food_insecur,dummy_erosion,distextension_servoffice,distperiodic_market,distpermanent_market,dcrop_prod,rainfall2,rainfall3,distrib_rainfall3,length_heatperiod2,length_heatperiod3,more_drought1,more_floods1,delay_rainy_season1,earlierend_rainy_season1,pl,poor,dsmall,l1_precip_z,precip_z_neg,precip_z_pos,precip_z_low,precip_z_high,precip_z_low_yrbefore,precip_z_high_yrbefore,precip_z_neg_yrbefore,precip_z_pos_yrbefore,extra_temp_max29,l1_extra_temp29,modern_inputs_1,ln_farmsize,ln_areacultiv,ln_educ,ageheadsqure,logage,logagehead2,ln_hhsize,ln_distextension_servoffice,ln_distpermanent_market,ln_total_livstocksize,tractor,cooperative,field_help,irrig_programme,dum_cropresid,dum_organ_fert,dum_inorgan_fert,dum_subjective_neg_affect,sandy_soil,loamy_soil,clay_soil,hill_topog,plain_topog,gentleslope_topog,steepslope_topog,valley_topog,modern_inputs
702,1,1,6,0,.9483,0,1,0,240200,7133500,1.9484432,.35560554,0,0,54,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,11,0,1191.8129,3.2652407,4073500,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,1,0,1,1,0,1,1,176621.91,0,1,.20210274,0,1,0,0,0,0,0,1,176.97229,176.20314,1,.6669572,0,0,2916,4.0073333,7.9783111,1.9459101,2.0794415,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1
706,1,1,6,0,.077500001,0,1,0,555800,1015000,3.8654909,1.3302625,0,0,55,1,1,1,12,12,1,1,0,1,0,0,0,0,0,1,0,0,20,2,2091.3428,5.7297063,722500,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,1,0,1,1,0,1,1,176621.91,0,1,.20210274,0,1,0,0,0,0,0,1,176.97229,176.20314,1,.074643545,0,2.5649493,3025,4.0253515,8.0149965,1.9459101,2.0794415,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1
1004,1,2,7,1,4.4720001,4.4720001,0,4.8499999,74500,1503000,-.42581326,0,-.25504807,0,50,1,1,1,0,0,0,0,0,0,1,0,0,7,80,50,200,200,2,0,210.35283,.57630914,1503000,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27633,53750,0,0,80,200,15,1,1,0,1,0,1,1,0,1,1,182635.2,1,1,1.2154269,0,1,0,0,0,1,0,1,115.61481,116.6264,0,1.6996442,1.6996442,0,2500,3.9318256,7.8244457,2.0794415,4.3944492,2.7725887,1.7664417,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1004,1,2,4,0,.1811,0,1,25.6,180250,350000,-.48294926,0,-.21884181,0,53,1,1,1,0,0,0,0,0,0,1,65,40,13,60,45,65,60,8,0,547.72949,1.5006287,350000,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27633,53750,0,0,40,24,60,1,1,0,0,0,0,1,0,0,1,176621.91,0,1,.61611778,0,1,0,0,0,0,0,1,137.76176,140.0042,0,.16644621,0,0,2809,3.9889841,7.9409399,1.6094379,3.713572,4.1108737,3.2809112,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
1005,1,2,5,1,3.0869999,3.0869999,0,1.5,179000,1599000,-.46173972,0,-.3150447,0,38,1,1,1,0,0,0,0,0,0,1,0,0,7,80,50,200,200,6,0,228.66966,.6264922,1599000,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27633,53750,0,0,80,200,15,1,1,0,1,1,0,1,0,1,1,182635.2,1,1,1.2154269,0,1,0,0,0,1,0,1,115.61481,116.6264,0,1.4078112,1.4078112,0,1444,3.6635616,7.2758646,1.7917595,4.3944492,2.7725887,.91629076,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1006,1,2,8,1,.5,.5,0,.89999998,202500,783000,-.50074905,0,-.32474405,0,59,1,1,1,0,0,0,0,0,0,1,0,0,7,80,50,200,200,7,0,243.37178,.66677201,783000,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27633,53750,0,0,80,200,15,1,1,0,1,0,1,1,0,1,1,182635.2,1,1,1.2154269,0,1,0,0,0,1,0,1,115.61481,116.6264,0,.4054651,.4054651,0,3481,4.0943446,8.1553621,2.1972246,4.3944492,2.7725887,.64185387,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1006,1,2,7,0,.1811,0,1,4.4299998,215450,710000,-.47746778,0,-.18252255,0,62,1,1,1,0,0,0,0,0,0,1,65,40,13,60,45,65,60,10,0,490.22867,1.3430922,710000,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27633,53750,1,1,40,24,60,1,1,0,0,0,0,1,0,1,1,176621.91,0,1,.61611778,0,1,0,0,0,0,0,1,137.76176,140.0042,0,.16644621,0,0,3844,4.1431346,8.254529,2.0794415,3.713572,4.1108737,1.6919391,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0
1007,1,2,8,0,.5,0,1,1.5,85750,690000,-.50590229,0,-.30548707,0,33,1,1,1,0,0,0,0,0,0,1,0,0,7,80,50,200,200,3,0,220.73076,.60474181,690000,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27633,53750,0,0,80,200,15,1,1,0,1,0,1,1,0,1,1,182635.2,1,1,1.2154269,0,1,0,0,0,1,0,1,115.61481,116.6264,0,.4054651,0,0,1089,3.5263605,6.9939332,2.1972246,4.3944492,2.7725887,.91629076,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
1007,1,2,8,0,.1811,0,1,.69999999,128000,1055000,-.41303626,0,-.12802191,1,32,1,1,1,0,0,0,0,0,0,1,65,40,13,60,45,65,60,6,0,306.39267,.839432,715000,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27633,53750,1,0,40,24,60,1,1,0,0,1,0,1,0,0,1,176621.91,1,1,.61611778,0,1,0,0,0,0,0,1,137.76176,140.0042,0,.16644621,0,0,1024,3.4965076,6.9324479,2.1972246,3.713572,4.1108737,.53062826,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
1008,1,2,9,1,1,1.0286,0,1.9,86250,1951000,-.44738835,0,-.29093805,0,39,1,1,1,0,0,0,0,0,0,1,0,0,7,80,50,200,200,3,0,173.11426,.47428563,1951000,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27633,53750,0,0,80,200,15,1,0,0,1,0,0,1,0,0,1,182635.2,1,1,1.2154269,0,1,0,0,0,1,0,1,115.61481,116.6264,0,.69314718,.7073459,0,1521,3.6888795,7.3277807,2.3025851,4.3944492,2.7725887,1.0647107,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1008,1,2,10,0,.1811,0,1,4.1500001,194000,1010000,-.41851774,0,-.16434118,0,42,1,1,1,0,0,0,0,0,0,1,65,40,13,60,45,65,60,9,0,252.81644,.69264776,670000,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27633,53750,1,0,40,24,60,1,1,0,0,0,0,1,0,1,1,176621.91,1,1,.61611778,0,1,0,0,0,0,0,1,137.76176,140.0042,0,.16644621,0,0,1764,3.7612002,7.4759059,2.3978953,3.713572,4.1108737,1.6389967,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0
1009,1,2,8,1,4.6756001,4.6756001,0,.55000001,109750,1599000,-.46173972,0,-.3150447,0,33,1,1,1,0,0,0,0,0,0,1,0,0,7,80,50,200,200,4,0,220.5168,.6041556,1599000,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27633,53750,0,0,80,200,15,1,1,0,1,0,0,1,0,0,1,182635.2,1,1,1.2154269,0,1,0,0,0,1,0,1,115.61481,116.6264,0,1.7361763,1.7361763,0,1089,3.5263605,6.9939332,2.1972246,4.3944492,2.7725887,.43825495,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1009,1,2,8,0,.1811,0,1,.55000001,107000,1890000,-.21534061,0,-.10773303,0,36,1,1,1,0,0,1,0,0,0,1,65,40,13,60,45,65,60,5,0,206.1086,.56468111,1890000,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27633,53750,1,0,40,24,60,1,1,0,0,0,0,1,0,1,1,176621.91,1,1,.61611778,0,1,0,0,0,0,0,1,137.76176,140.0042,0,.16644621,0,0,1296,3.6109178,7.167809,2.1972246,3.713572,4.1108737,.43825495,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1010,1,2,10,1,4.0634999,4.0634999,0,1.3,156000,1211000,-.48124439,0,-.31989437,0,44,1,1,1,0,0,0,0,0,0,1,0,0,7,80,50,200,200,5,0,133.63821,.36613208,1211000,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27633,53750,0,0,80,200,15,1,1,0,1,1,0,1,0,1,1,182635.2,1,1,1.2154269,0,1,0,0,0,1,0,1,115.61481,116.6264,0,1.6220579,1.6220579,0,1936,3.8066626,7.5688958,2.3978953,4.3944492,2.7725887,.83290911,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1010,1,2,11,0,.1811,0,1,0,234750,720000,-.47746778,0,-.18252255,0,47,1,1,1,0,0,0,0,0,0,1,65,40,13,60,45,65,60,11,0,277.23901,.75955892,720000,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27633,53750,1,0,40,24,60,1,1,0,1,0,1,1,0,1,1,176621.91,1,1,.61611778,0,1,0,0,0,0,0,1,137.76176,140.0042,0,.16644621,0,0,2209,3.871201,7.700748,2.4849067,3.713572,4.1108737,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
1011,1,2,8,0,4.4496999,0,1,3.4400001,86000,690000,-.50590229,0,-.30548707,0,45,1,1,1,0,0,0,0,0,0,1,0,0,7,80,50,200,200,3,0,254.1651,.69634277,690000,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27633,53750,0,0,80,200,15,1,1,0,1,0,1,1,0,1,1,182635.2,1,1,1.2154269,0,1,0,0,0,1,0,1,115.61481,116.6264,0,1.6955606,0,0,2025,3.8286414,7.6138186,2.1972246,4.3944492,2.7725887,1.4906543,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0
1011,1,2,9,0,.1811,0,1,4.1700001,221500,510500,-.39922786,0,-.21812481,0,48,1,1,1,0,0,0,0,0,0,1,65,40,13,60,45,65,60,10,0,195.37703,.53527951,510500,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27633,53750,1,0,40,24,60,1,0,0,1,0,1,1,0,1,1,176621.91,1,1,.61611778,0,1,0,0,0,0,0,1,137.76176,140.0042,0,.16644621,0,0,2304,3.8918202,7.742836,2.3025851,3.713572,4.1108737,1.6428727,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
